Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Diamesa	Diamesa hyperborea
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Xenochironomus	Xenochironomus xenolabis
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Cricotopus	Cricotopus vierriensis
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Cricotopus	Cricotopus bicinctus
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Paratanytarsus	Paratanytarsus austriacus
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Paracladopelma	Paracladopelma winnelli
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Polypedilum	Polypedilum convictum
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Micropsectra	Micropsectra subletteorum
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Microtendipes	Microtendipes pedellus
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Tanytarsus	Tanytarsus inaequalis
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Gymnometriocnemus	Gymnometriocnemus brumalis
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Polypedilum	Polypedilum aviceps
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Cricotopus	Cricotopus annulator
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Parachironomus	Parachironomus tenuicaudatus
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Camptocladius	Camptocladius stercorarius
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Cladopelma	Cladopelma viridula
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Eukiefferiella	Eukiefferiella claripennis
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Tanytarsus	Tanytarsus recurvatus
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Cryptochironomus	Cryptochironomus fulvus
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Tanytarsus	Tanytarsus glabrescens
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Paratanytarsus	Paratanytarsus grimmii
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Micropsectra	Micropsectra recurvata
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Tanytarsus	Tanytarsus heliomesonyctios
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Paratanytarsus	Paratanytarsus setosimanus
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Dicrotendipes	Dicrotendipes modestus
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Tanytarsus	Tanytarsus herrmanni
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Tanytarsus	Tanytarsus dissimilis
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Bryophaenocladius	Bryophaenocladius ictericus
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Diplocladius	Diplocladius cultriger
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Tanytarsus	Tanytarsus lugens
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Cladotanytarsus	Cladotanytarsus atridorsum
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Cryptotendipes	Cryptotendipes darbyi
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Cricotopus	Cricotopus trifascia
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Cricotopus	Cricotopus tremulus
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Stictochironomus	Stictochironomus devinctus
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Diamesa	Diamesa arctica
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Tanytarsus	Tanytarsus guerlus
Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Phaenopsectra	Phaenopsectra punctipes
